"location","file","tree","x","y","phi","h.dist","dbh","h","v","n.pts","n.pts.red","n.pts.est","n.pts.red.est","partial.occlusion","locationID","altitude","on.off.trail","latitude","longitude","habitat","partition"
"BM 14.35","BM14.35.txt",26,5.905560833,6.9168325,0.853574942,9.104337387,8.64621298,27.035,0.037148688,62,33,109.9774446,54.96667286,0,9,53,"ON",-1.20752,110.10863,"Alluvial Bench","AB1"
"BM 14.35","BM14.35.txt",27,8.698098333,-2.812125,5.970235105,9.143193496,7.210113347,12.963,0.015763815,213,114.3333333,91.71065333,45.83693954,0,9,53,"ON",-1.20752,110.10863,"Alluvial Bench","AB1"
"BM 14.35","BM14.35.txt",28,6.660803333,-6.564698333,5.50504705,9.352171371,51.92062431,22.246,1.155040265,478.6666667,231,660.4160222,330.0756039,1,9,53,"ON",-1.20752,110.10863,"Alluvial Bench","AB1"
"BM 14.35","BM14.35.txt",29,9.301246667,-1.364166667,6.136454764,9.419314402,15.60605728,15.518,0.081795655,333.3333333,169,198.5047447,99.212574,0,9,53,"ON",-1.20752,110.10863,"Alluvial Bench","AB1"
"BM 14.35","BM14.35.txt",31,-9.466625,3.229461667,2.812799806,10.0023749,14.55648385,15.613,0.071429039,128.6666667,62.66666667,185.1544602,92.54010835,0,9,53,"ON",-1.20752,110.10863,"Alluvial Bench","AB1"
"BM 14.35","BM14.35.txt",32,8.54778,5.779635,0.594544454,10.31838412,11.62718617,21.668,0.056821113,597.3333333,297.3333333,147.8946014,73.91764923,1,9,53,"ON",-1.20752,110.10863,"Alluvial Bench","AB1"
"BM 14.35","BM14.35.txt",33,7.4067525,-7.3896525,5.498903033,10.46273145,22.97993704,16.811,0.186461242,156,73.5,292.2984616,146.0906277,0,9,53,"ON",-1.20752,110.10863,"Alluvial Bench","AB1"
"BM 14.35","BM14.35.txt",34,8.970024167,5.745384167,0.569592152,10.6544268,13.58346319,25.02,0.086345958,545.3333333,265.6666667,172.7779056,86.35431246,1,9,53,"ON",-1.20752,110.10863,"Alluvial Bench","AB1"
"BM 14.35","BM14.35.txt",35,-9.598435833,5.144349167,2.649127838,10.90491617,12.30723281,16.988,0.05384432,255.3333333,120.6666667,156.5446071,78.24091785,0,9,53,"ON",-1.20752,110.10863,"Alluvial Bench","AB1"
"BM 14.35","BM14.35.txt",36,10.5402325,4.267549167,0.385828189,11.37679977,11.13427006,18.989,0.047463616,29.66666667,17.33333333,141.6248445,70.7840278,1,9,53,"ON",-1.20752,110.10863,"Alluvial Bench","AB1"
"BM 14.35","BM14.35.txt",38,11.66081125,0.57905375,0.049571214,11.67563667,2.733779885,7.697,0.001888824,40.5,23.5,34.7729262,17.37949145,0,9,53,"ON",-1.20752,110.10863,"Alluvial Bench","AB1"
"BM 14.35","BM14.35.txt",39,-7.899525,8.616941667,2.312504552,11.6932789,7.367745069,14.1,0.017232451,164.6666667,83,93.71568536,46.83905356,0,9,53,"ON",-1.20752,110.10863,"Alluvial Bench","AB1"
"BM 14.35","BM14.35.txt",40,-11.81748167,0.071245,3.133015369,11.82464265,7.301247013,9.764,0.014274576,349,175.3333333,92.86984842,46.41630468,0,9,53,"ON",-1.20752,110.10863,"Alluvial Bench","AB1"
"BM 14.35","BM14.35.txt",41,-9.388634167,7.476210833,2.469054731,12.00824569,10.85235669,14.089,0.037370962,200.3333333,106,138.0389842,68.99181658,0,9,53,"ON",-1.20752,110.10863,"Alluvial Bench","AB1"
"BM 14.35","BM14.35.txt",42,-8.589759167,8.418985833,2.366328441,12.02866343,17.64737493,12.267,0.09182245,603,301,224.4697422,112.189867,0,9,53,"ON",-1.20752,110.10863,"Alluvial Bench","AB1"
"BM 14.35","BM14.35.txt",43,11.1443975,4.7158175,0.399154787,12.1054227,12.46989945,15.338,0.051855635,263,129.6666667,158.613682,79.27504043,1,9,53,"ON",-1.20752,110.10863,"Alluvial Bench","AB1"
"BM 14.35","BM14.35.txt",44,-11.864775,3.826351667,2.829736129,12.47512959,13.68699421,17.625,0.068213461,344.3333333,176.6666667,174.0947916,87.01249145,0,9,53,"ON",-1.20752,110.10863,"Alluvial Bench","AB1"
"BM 14.35","BM14.35.txt",45,-11.88672,-3.759188333,3.448444802,12.48269503,15.59460977,15.316,0.08102941,88,45.33333333,198.3591355,99.13979862,0,9,53,"ON",-1.20752,110.10863,"Alluvial Bench","AB1"
"BM 14.35","BM14.35.txt",46,6.8571975,10.5877525,0.995880478,12.61442856,20.37529946,32.673,0.240242022,49.66666667,24,259.1681899,129.5321342,0,9,53,"ON",-1.20752,110.10863,"Alluvial Bench","AB1"
"BM 14.35","BM14.35.txt",47,-12.0748025,-3.639719167,3.434310534,12.61519542,15.03683113,14.705,0.073535119,47.33333333,22.66666667,191.2643451,95.59382584,1,9,53,"ON",-1.20752,110.10863,"Alluvial Bench","AB1"
"BM 14.35","BM14.35.txt",48,-12.59898667,0.294543333,3.118339334,12.65490001,14.38181419,16.369,0.071804762,3010,1500,182.9327102,91.4296788,1,9,53,"ON",-1.20752,110.10863,"Alluvial Bench","AB1"
"BM 14.35","BM14.35.txt",49,-8.172325833,-9.883030833,4.021466244,12.82798107,17.0179366,22.32,0.124391695,143,65,216.4634602,108.1883312,1,9,53,"ON",-1.20752,110.10863,"Alluvial Bench","AB1"
"BM 14.35","BM14.35.txt",50,10.66737417,8.6428375,0.680970947,13.72926972,21.24958038,15.275,0.150207804,210.6666667,109.3333333,270.2888022,135.0902107,1,9,53,"ON",-1.20752,110.10863,"Alluvial Bench","AB1"
"BM 14.35","BM14.35.txt",51,-8.9232475,-10.4723125,4.00668904,13.75840669,1.470939663,5.852,0.000551787,413.5,213,18.70994685,9.351222257,0,9,53,"ON",-1.20752,110.10863,"Alluvial Bench","AB1"
"BM 14.35","BM14.35.txt",52,-0.817241667,-13.75073833,4.653082249,13.77535947,14.18162602,14.959,0.066071942,39,18.33333333,180.3863719,90.15702018,0,9,53,"ON",-1.20752,110.10863,"Alluvial Bench","AB1"
"BM 14.35","BM14.35.txt",53,10.1277825,10.15913083,0.786197961,14.35411684,12.44327422,16.716,0.054473288,60.66666667,28,158.2750164,79.10577555,1,9,53,"ON",-1.20752,110.10863,"Alluvial Bench","AB1"
"BM 14.35","BM14.35.txt",54,13.34232583,5.3368875,0.38072774,14.37201436,11.21896853,27.189,0.062825103,41.33333333,23.66666667,142.7021857,71.32248241,0,9,53,"ON",-1.20752,110.10863,"Alluvial Bench","AB1"
"BM 14.35","BM14.35.txt",55,-9.753681667,10.62252,2.313627592,14.42147173,5.684467211,11.86,0.009694944,95,48.66666667,72.30485523,36.13793117,0,9,53,"ON",-1.20752,110.10863,"Alluvial Bench","AB1"
"BM 14.35","BM14.35.txt",56,11.31157125,9.44457625,0.695589545,14.73666353,24.88179683,25.796,0.296613646,131,65,316.4895936,158.1813436,0,9,53,"ON",-1.20752,110.10863,"Alluvial Bench","AB1"
